"word","is_pun","pun_type","sentence"
"spoon","true","homographic","They fell asleep on the couch, spooning under a single blanket."
"knife","false","","She sharpened the knife before slicing the roast."
"knife","true","homographic","He felt like his old partner had knifed him in the back over the deal."
"chef","false","","The chef plated each dish with careful precision."
"chef","true","homographic","The dessert earned a genuine chef's kiss from every food critic in the room."
"cook","false","","She cooked dinner for the whole family on Sunday night."
"cook","true","homographic","Investigators later found the accountant had been cooking the books for years."
"baker","false","","The baker arrived before dawn to start the morning bread."
"baker","true","homographic","The prize was split thirteen ways, one for every member of their baker's dozen club."
"butcher","false","","The butcher trimmed the roast before wrapping it in paper."
"butcher","true","homographic","The inexperienced editor completely butchered the final draft of the article."
"diner","false","","They stopped at a roadside diner for breakfast."
"diner","true","homographic","Every diner in the restaurant turned to look when the cake arrived with sparklers."
"menu","false","","She studied the menu before deciding on the salmon."
"menu","true","homographic","He right-clicked to bring up the computer's context menu."
"order","false","","The waiter took their order and hurried back to the kitchen."
"order","true","homographic","The judge banged the gavel, calling the courtroom back to order."
"tab","false","","He asked the waiter to close out the tab before leaving."
"tab","true","homographic","She kept a dozen browser tabs open while researching the project."
"bill","false","","The waiter brought the bill at the end of the meal."
"bill","true","homographic","The duck used its wide bill to sift through the muddy water."
"tip","false","","She left a generous tip for the attentive waiter."
"tip","true","homographic","He gave her a helpful tip about which highway to avoid during rush hour."
"nibble","false","","She nibbled on crackers while waiting for the soup to heat up."
"nibble","true","homographic","The company only agreed to nibble around the edges of the larger reform."
"gulp","false","","He took a big gulp of water after the long run."
"gulp","true","homographic","She let out a nervous gulp before walking on stage for the first time."
"chew","false","","She chewed her food slowly during the quiet dinner."
"chew","true","homographic","The old friends sat on the porch, chewing the fat for hours."
"swallow","false","","She took a sip of water to help swallow the pill."
"swallow","true","homographic","A single swallow darted low across the barn at dusk."
"crunch","false","","She bit into the apple with a satisfying crunch."
"crunch","true","homographic","The whole team was working overtime during the final crunch before launch."
"taste","false","","She added a bit more salt after tasting the sauce."
"taste","true","homographic","After the prank, he finally got a taste of his own medicine."
"palate","false","","The wine had a smooth, lingering finish on the palate."
"palate","true","homophonic","She carefully mixed colors on her palette before starting the portrait."
"appetite","false","","The long hike left them with a huge appetite for dinner."
"appetite","true","homographic","The band's new single was clearly inspired by their appetite for destruction."
"full","false","","She felt pleasantly full after the big dinner."
"full","true","homographic","He didn't hold back, telling her exactly what he thought, full of it or not."
